10.168.27.186, 2023-05-02 15:28:03, GET, /, HTTP/1.1, 303, 0.002196
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/default/index, HTTP/1.1, 200, 1.110493
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002380
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002136
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001010
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000500
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001637
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000500
10.168.27.186, 2023-05-02 15:28:04, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000877
10.168.27.186, 2023-05-02 15:28:05, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001073
10.168.27.186, 2023-05-02 15:28:05, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
10.168.27.186, 2023-05-02 15:28:05, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/default/index, HTTP/1.1, 200, 0.736084
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.007280
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.012507
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.015386
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.022823
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.020332
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.005630
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.028609
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.005469
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003869
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003249
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007029
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.013195
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.021022
10.168.27.186, 2023-05-02 15:28:08, GET, /admin/static/_2.24.1/images/questions.png, HTTP/1.1, 200, 0.007000
10.168.27.186, 2023-05-02 15:28:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.168.27.186, 2023-05-02 15:28:10, POST, /admin/default/index, HTTP/1.1, 303, 0.009002
10.168.27.186, 2023-05-02 15:28:10, GET, /admin/default/site, HTTP/1.1, 200, 0.044796
10.168.27.186, 2023-05-02 15:28:10, GET, /admin/static/_2.24.1/images/folder_locked.png, HTTP/1.1, 200, 0.024495
10.168.27.186, 2023-05-02 15:28:10, GET, /admin/static/_2.24.1/images/folder.png, HTTP/1.1, 200, 0.024995
10.168.27.186, 2023-05-02 15:28:10, GET, /admin/static/_2.24.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.004450
10.168.27.186, 2023-05-02 15:28:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.168.27.186, 2023-05-02 15:28:11, POST, /admin/default/check_version, HTTP/1.1, 200, 0.667897
10.168.27.186, 2023-05-02 15:29:14, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 500, 0.130479
10.168.27.186, 2023-05-02 15:29:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.168.27.186, 2023-05-02 15:29:31, GET, /admin/default/ticket/smsgateway/10.168.27.186.2023-05-02.15-29-14.463dd91c-10ec-4966-a1ce-8d552f4e5da1, HTTP/1.1, 200, 0.117919
10.168.27.186, 2023-05-02 15:29:31, GET, /admin/static/_2.24.1/images/help.png, HTTP/1.1, 200, 0.003000
10.168.27.186, 2023-05-02 15:29:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.168.27.186, 2023-05-02 15:29:51, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 500, 0.011122
10.168.27.186, 2023-05-02 15:29:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
10.168.27.186, 2023-05-02 15:30:02, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 500, 0.011023
10.168.27.186, 2023-05-02 15:30:02, GET, /favicon.ico, HTTP/1.1, 400, 0.001009
10.168.87.198, 2023-05-02 15:34:52, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 500, 0.013408
10.168.87.198, 2023-05-02 15:37:27, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.031667
10.168.87.198, 2023-05-02 15:38:08, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.019721
10.168.87.198, 2023-05-02 15:53:28, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.000000
10.168.87.198, 2023-05-02 16:48:06, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.037301
10.168.87.198, 2023-05-02 17:07:15, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.015612
10.168.27.186, 2023-05-02 17:43:03, GET, /, HTTP/1.1, 303, 0.000765
10.168.27.186, 2023-05-02 17:43:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.021037
10.168.27.186, 2023-05-02 17:43:03, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001047
10.168.87.198, 2023-05-02 17:44:29, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.055762
10.168.87.198, 2023-05-02 17:44:50, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.022761
10.168.87.198, 2023-05-02 17:48:08, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.048862
10.168.87.198, 2023-05-02 17:49:49, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.035882
10.168.87.198, 2023-05-02 17:51:14, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.026875
10.168.87.198, 2023-05-02 17:51:26, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.024564
10.168.87.198, 2023-05-02 18:13:46, GET, /smsgateway/smsgateway/sms_reply, HTTP/1.1, 200, 0.031474
