127.0.0.1, 2023-04-27 09:43:57, GET, /, HTTP/1.1, 303, 0.001525
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.701433
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002963
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001278
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002294
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002794
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003182
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002112
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000499
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2023-04-27 09:43:58, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/default/index, HTTP/1.1, 200, 0.097576
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.000681
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/js/web2py.js, HTTP/1.1, 200, 0.001110
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/js/calendar.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001513
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/js/jquery.js, HTTP/1.1, 200, 0.022590
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000501
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.000999
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000499
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001031
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/js/bootstrap.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2023-04-27 09:44:24, GET, /admin/static/_2.24.1/images/questions.png, HTTP/1.1, 200, 0.001094
127.0.0.1, 2023-04-27 09:44:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000149
127.0.0.1, 2023-04-27 09:44:29, POST, /admin/default/index, HTTP/1.1, 303, 0.006001
127.0.0.1, 2023-04-27 09:44:29, GET, /admin/default/site, HTTP/1.1, 200, 0.026004
127.0.0.1, 2023-04-27 09:44:29, GET, /admin/static/_2.24.1/images/folder_locked.png, HTTP/1.1, 200, 0.001100
127.0.0.1, 2023-04-27 09:44:29, GET, /admin/static/_2.24.1/images/folder.png, HTTP/1.1, 200, 0.001268
127.0.0.1, 2023-04-27 09:44:29, GET, /admin/static/_2.24.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001001
127.0.0.1, 2023-04-27 09:44:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-27 09:44:29, POST, /admin/default/check_version, HTTP/1.1, 200, 0.738958
127.0.0.1, 2023-04-27 09:44:45, GET, /examples/default/index, HTTP/1.1, 200, 0.010077
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001005
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000778
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001361
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001361
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002107
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000453
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.001012
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.001098
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000000
127.0.0.1, 2023-04-27 09:44:46, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001081
127.0.0.1, 2023-04-27 09:44:50, GET, /admin/default/site, HTTP/1.1, 200, 0.019070
127.0.0.1, 2023-04-27 09:44:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000079
127.0.0.1, 2023-04-27 09:44:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.022075
127.0.0.1, 2023-04-27 09:44:52, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000476
127.0.0.1, 2023-04-27 09:45:08, GET, /admin/default/site, HTTP/1.1, 200, 0.016617
127.0.0.1, 2023-04-27 09:45:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2023-04-27 15:28:47, GET, /admin/default/site, HTTP/1.1, 303, 0.432472
127.0.0.1, 2023-04-27 15:28:48, GET, /admin/default/index, HTTP/1.1, 200, 0.113383
